id,category,urgency_level,urgency_score,text_description,image_description,issue_type,location_type,timestamp
road_problems_HIGH_5131,road_problems,HIGH,8,Emergency situation: road collapse residential street creating hazardous conditions. Immediate response required. Causing accidents. Vehicles getting damaged. Just saw this. Already injured someone. In a busy area.,Image shows severe road collapse with deep holes visible residential street. Photo taken morning shot with sunny conditions. Clear visibility.,road collapse,residential street,2025-08-28 06:10:09.900585
road_problems_HIGH_2571,road_problems,HIGH,10,Emergency situation: waterlogging highway creating hazardous conditions. Immediate response required. Causing accidents. Vehicles getting damaged. Just saw this. Already injured someone. Near the main entrance.,Image shows severe waterlogging with deep holes visible highway. Photo taken during daytime with overcast sky. Multiple angles shown.,waterlogging,highway,2025-09-11 06:10:09.900585
road_problems_HIGH_2112,road_problems,HIGH,10,Critical issue - cracks side road. This is a serious safety risk. Please address immediately. Causing accidents. Traffic chaos. Noticed this morning. Already damaged vehicles. Visible from the road.,Image shows severe cracks with people avoiding the area side road. Photo taken in the evening with after rain. Clear visibility.,cracks,side road,2025-08-28 06:10:09.900585
road_problems_HIGH_3345,road_problems,HIGH,10,Fed up with emergency situation: potholes residential street creating hazardous conditions. immediate response required. causing accidents. pedestrians at risk. happening right now. already caused accidents. visible from the road.,Image shows severe potholes with deep holes visible residential street. Photo taken during daytime with after rain. Multiple angles shown.,potholes,residential street,2025-09-26 06:10:09.900585
road_problems_HIGH_8185,road_problems,HIGH,9,Hey there's a urgent: waterlogging causing serious safety hazard bridge. urgent action needed asap. causing accidents. traffic chaos. happening right now. already damaged vehicles. close to residential homes.,Image shows severe waterlogging with deep holes visible bridge. Photo taken during daytime with clear weather. Multiple angles shown.,waterlogging,bridge,2025-09-25 06:10:09.900585
road_problems_HIGH_7166,road_problems,HIGH,9,Please address emergency situation: waterlogging intersection creating hazardous conditions. immediate response required. causing accidents. traffic chaos. happening right now. already damaged vehicles. visible from the road.,Image shows severe waterlogging with deep holes visible intersection. Photo taken morning shot with clear weather. Multiple angles shown.,waterlogging,intersection,2025-08-30 06:10:09.900585
road_problems_HIGH_4349,road_problems,HIGH,8,DANGER: cracks bridge poses immediate threat to public safety. Serious intervention needed. Causing accidents. Pedestrians at risk. Happening right now. Already injured someone. Near the main entrance.,Image shows severe cracks with deep holes visible bridge. Photo taken in the evening with overcast sky. Good image quality.,cracks,bridge,2025-09-15 06:10:09.900585
road_problems_HIGH_5963,road_problems,HIGH,10,URGENT: cracks causing serious safety hazard side road. Emergency action needed immediately. Causing accidents. Pedestrians at risk. This happened yesterday. Already damaged vehicles. Near the main entrance.,Image shows severe cracks with visible damage to vehicles side road. Photo taken afternoon lighting with clear weather. Multiple angles shown.,cracks,side road,2025-09-03 06:10:09.900585
road_problems_HIGH_6211,road_problems,HIGH,9,Critical issue - waterlogging residential street. This is extremely dangerous. Please address immediately. Causing accidents. Vehicles getting damaged. Noticed this morning. Already damaged vehicles. Visible from the road.,Image shows severe waterlogging with people avoiding the area residential street. Photo taken afternoon lighting with after rain. Good image quality.,waterlogging,residential street,2025-08-30 06:10:09.900585
road_problems_HIGH_9904,road_problems,HIGH,9,DANGER: potholes intersection poses immediate threat to public safety. Life-Threatening intervention needed. Causing accidents. Pedestrians at risk. Happening right now. Already damaged vehicles. Visible from the road.,Image shows severe potholes with deep holes visible intersection. Photo taken in the evening with overcast sky. Close-up detail visible.,potholes,intersection,2025-09-03 06:10:09.900585
road_problems_HIGH_4049,road_problems,HIGH,9,URGENT: road collapse causing serious safety hazard side road. Hazardous action needed immediately. Causing accidents. Pedestrians at risk. This happened yesterday. Already caused accidents. Visible from the road.,Image shows severe road collapse with warning cones placed side road. Photo taken in the evening with clear weather. Close-up detail visible.,road collapse,side road,2025-09-26 06:10:09.900585
road_problems_HIGH_7205,road_problems,HIGH,8,Please address emergency situation: uneven surface highway creating dangerous conditions. immediate response required. causing accidents. pedestrians at risk. happening right now. already caused accidents. near the main entrance.,Image shows severe uneven surface with people avoiding the area highway. Photo taken in the evening with after rain. Multiple angles shown.,uneven surface,highway,2025-09-06 06:10:09.900585
road_problems_HIGH_6907,road_problems,HIGH,8,DANGER: uneven surface residential street poses immediate threat to public safety. Hazardous intervention needed. Causing accidents. Vehicles getting damaged. Just saw this. Already caused accidents. In a busy area.,Image shows severe uneven surface with visible damage to vehicles residential street. Photo taken morning shot with after rain. Close-up detail visible.,uneven surface,residential street,2025-09-06 06:10:09.900585
road_problems_HIGH_7355,road_problems,HIGH,10,Emergency situation: cracks bridge creating life-threatening conditions. Immediate response required. Causing accidents. Pedestrians at risk. Noticed this morning. Already caused accidents. Near the main entrance.,Image shows severe cracks with people avoiding the area bridge. Photo taken morning shot with sunny conditions. Good image quality.,cracks,bridge,2025-09-05 06:10:09.901586
road_problems_HIGH_4534,road_problems,HIGH,8,I'm sick of emergency situation: waterlogging bridge creating dangerous conditions. immediate response required. causing accidents. traffic chaos. just saw this. already damaged vehicles. close to residential homes.,Image shows severe waterlogging with visible damage to vehicles bridge. Photo taken morning shot with after rain. Multiple angles shown.,waterlogging,bridge,2025-09-07 06:10:09.901586
road_problems_HIGH_6684,road_problems,HIGH,9,DANGER: cracks intersection poses immediate threat to public safety. Dangerous intervention needed. Causing accidents. Pedestrians at risk. Just saw this. Already damaged vehicles. Close to residential homes.,Image shows severe cracks with visible damage to vehicles intersection. Photo taken afternoon lighting with after rain. Clear visibility.,cracks,intersection,2025-09-09 06:10:09.901586
road_problems_HIGH_4976,road_problems,HIGH,10,There is a urgent: uneven surface causing serious safety hazard intersection. serious action needed right now. causing accidents. traffic chaos. happening right now. already damaged vehicles. close to residential homes.,Image shows severe uneven surface with visible damage to vehicles intersection. Photo taken during daytime with sunny conditions. Good image quality.,uneven surface,intersection,2025-09-15 06:10:09.901586
road_problems_HIGH_9424,road_problems,HIGH,9,Emergency situation: potholes side road creating dangerous conditions. Immediate response required. Causing accidents. Pedestrians at risk. This happened yesterday. Already damaged vehicles. Close to residential homes.,Image shows severe potholes with visible damage to vehicles side road. Photo taken during daytime with overcast sky. Close-up detail visible.,potholes,side road,2025-09-13 06:10:09.901586
road_problems_HIGH_1345,road_problems,HIGH,9,Fed up with urgent: uneven surface causing serious safety hazard main road. dangerous action needed immediately. causing accidents. traffic chaos. just saw this. already damaged vehicles. in a busy area.,Image shows severe uneven surface with warning cones placed main road. Photo taken afternoon lighting with after rain. Multiple angles shown.,uneven surface,main road,2025-09-22 06:10:09.901586
road_problems_HIGH_9656,road_problems,HIGH,8,URGENT: waterlogging causing serious safety hazard residential street. Immediate action needed today. Causing accidents. Pedestrians at risk. Just saw this. Already damaged vehicles. Visible from the road.,Image shows severe waterlogging with visible damage to vehicles residential street. Photo taken morning shot with overcast sky. Clear visibility.,waterlogging,residential street,2025-08-29 06:10:09.901586
road_problems_HIGH_9842,road_problems,HIGH,9,URGENT: road collapse causing serious safety hazard intersection. Critical action needed today. Causing accidents. Pedestrians at risk. This happened yesterday. Already injured someone. Visible from the road.,Image shows severe road collapse with warning cones placed intersection. Photo taken afternoon lighting with clear weather. Multiple angles shown.,road collapse,intersection,2025-09-23 06:10:09.901586
road_problems_HIGH_2772,road_problems,HIGH,8,Critical issue - uneven surface highway. This is a serious safety risk. Please address immediately. Causing accidents. Vehicles getting damaged. This happened yesterday. Already caused accidents. Near the main entrance.,Image shows severe uneven surface with deep holes visible highway. Photo taken during daytime with overcast sky. Multiple angles shown.,uneven surface,highway,2025-09-15 06:10:09.901586
road_problems_HIGH_5823,road_problems,HIGH,9,I fear that emergency situation: cracks main road creating hazardous conditions. immediate response required. causing accidents. traffic chaos. noticed this morning. already injured someone. visible from the road.,Image shows severe cracks with people avoiding the area main road. Photo taken afternoon lighting with after rain. Clear visibility.,cracks,main road,2025-08-30 06:10:09.901586
road_problems_HIGH_7791,road_problems,HIGH,10,There is a emergency situation: cracks intersection creating dangerous conditions. immediate response required. causing accidents. vehicles getting damaged. just saw this. already damaged vehicles. in a busy area.,Image shows severe cracks with visible damage to vehicles intersection. Photo taken in the evening with overcast sky. Close-up detail visible.,cracks,intersection,2025-09-06 06:10:09.901586
road_problems_HIGH_2301,road_problems,HIGH,8,URGENT: cracks causing serious safety hazard main road. Hazardous action needed immediately. Causing accidents. Traffic chaos. Just saw this. Already caused accidents. Close to residential homes.,Image shows severe cracks with people avoiding the area main road. Photo taken during daytime with after rain. Clear visibility.,cracks,main road,2025-09-02 06:10:09.901586
road_problems_HIGH_2505,road_problems,HIGH,8,This is ridiculous critical issue - cracks highway. this is extremely dangerous. please address immediately. causing accidents. vehicles getting damaged. noticed this morning. already injured someone. visible from the road.,Image shows severe cracks with visible damage to vehicles highway. Photo taken afternoon lighting with after rain. Close-up detail visible.,cracks,highway,2025-09-02 06:10:09.901586
road_problems_HIGH_5365,road_problems,HIGH,8,Help! We have urgent: cracks causing serious safety hazard bridge. serious action needed today. causing accidents. traffic chaos. this happened yesterday. already injured someone. near the main entrance.,Image shows severe cracks with people avoiding the area bridge. Photo taken during daytime with sunny conditions. Clear visibility.,cracks,bridge,2025-09-14 06:10:09.901586
road_problems_HIGH_7646,road_problems,HIGH,8,I'm sick of danger: road collapse side road poses immediate threat to public safety. serious intervention needed. causing accidents. pedestrians at risk. just saw this. already caused accidents. close to residential homes.,Image shows severe road collapse with people avoiding the area side road. Photo taken in the evening with after rain. Clear visibility.,road collapse,side road,2025-09-21 06:10:09.902583
road_problems_HIGH_4502,road_problems,HIGH,10,There is a critical issue - road collapse bridge. this is extremely dangerous. please address immediately. causing accidents. vehicles getting damaged. noticed this morning. already injured someone. visible from the road.,Image shows severe road collapse with warning cones placed bridge. Photo taken in the evening with clear weather. Multiple angles shown.,road collapse,bridge,2025-09-22 06:10:09.902583
road_problems_HIGH_3758,road_problems,HIGH,9,Critical issue - cracks bridge. This is extremely dangerous. Please address immediately. Causing accidents. Traffic chaos. This happened yesterday. Already caused accidents. Visible from the road.,Image shows severe cracks with people avoiding the area bridge. Photo taken during daytime with clear weather. Multiple angles shown.,cracks,bridge,2025-09-24 06:10:09.902583
road_problems_HIGH_3972,road_problems,HIGH,8,I'm sick of danger: uneven surface main road poses immediate threat to public safety. critical intervention needed. causing accidents. pedestrians at risk. happening right now. already damaged vehicles. in a busy area.,Image shows severe uneven surface with deep holes visible main road. Photo taken during daytime with sunny conditions. Clear visibility.,uneven surface,main road,2025-09-13 06:10:09.902583
road_problems_HIGH_1544,road_problems,HIGH,10,URGENT: uneven surface causing serious safety hazard side road. Emergency action needed right now. Causing accidents. Vehicles getting damaged. Happening right now. Already caused accidents. Close to residential homes.,Image shows severe uneven surface with people avoiding the area side road. Photo taken morning shot with after rain. Multiple angles shown.,uneven surface,side road,2025-09-05 06:10:09.902583
road_problems_HIGH_5634,road_problems,HIGH,9,DANGER: potholes main road poses immediate threat to public safety. Life-Threatening intervention needed. Causing accidents. Pedestrians at risk. Just saw this. Already injured someone. Visible from the road.,Image shows severe potholes with warning cones placed main road. Photo taken during daytime with sunny conditions. Close-up detail visible.,potholes,main road,2025-09-07 06:10:09.902583
road_problems_HIGH_2417,road_problems,HIGH,10,DANGER: potholes bridge poses immediate threat to public safety. Dangerous intervention needed. Causing accidents. Pedestrians at risk. Noticed this morning. Already caused accidents. Visible from the road.,Image shows severe potholes with warning cones placed bridge. Photo taken morning shot with after rain. Clear visibility.,potholes,bridge,2025-09-01 06:10:09.902583
road_problems_HIGH_2238,road_problems,HIGH,9,URGENT: cracks causing serious safety hazard highway. Immediate action needed today. Causing accidents. Traffic chaos. This happened yesterday. Already caused accidents. Visible from the road.,Image shows severe cracks with people avoiding the area highway. Photo taken morning shot with sunny conditions. Good image quality.,cracks,highway,2025-09-06 06:10:09.902583
road_problems_HIGH_6181,road_problems,HIGH,9,Critical issue - uneven surface intersection. This is a serious safety risk. Please address immediately. Causing accidents. Pedestrians at risk. This happened yesterday. Already injured someone. Close to residential homes.,Image shows severe uneven surface with warning cones placed intersection. Photo taken in the evening with clear weather. Clear visibility.,uneven surface,intersection,2025-08-27 06:10:09.902583
road_problems_HIGH_7942,road_problems,HIGH,8,URGENT: potholes causing serious safety hazard side road. Urgent action needed right now. Causing accidents. Vehicles getting damaged. Happening right now. Already caused accidents. Near the main entrance.,Image shows severe potholes with people avoiding the area side road. Photo taken morning shot with clear weather. Multiple angles shown.,potholes,side road,2025-09-24 06:10:09.902583
road_problems_HIGH_8014,road_problems,HIGH,9,Emergency situation: cracks side road creating hazardous conditions. Immediate response required. Causing accidents. Traffic chaos. This happened yesterday. Already injured someone. In a busy area.,Image shows severe cracks with warning cones placed side road. Photo taken afternoon lighting with clear weather. Close-up detail visible.,cracks,side road,2025-08-27 06:10:09.902583
road_problems_HIGH_1672,road_problems,HIGH,10,This is ridiculous danger: broken roads bridge poses immediate threat to public safety. emergency intervention needed. causing accidents. traffic chaos. this happened yesterday. already injured someone. near the main entrance.,Image shows severe broken roads with deep holes visible bridge. Photo taken afternoon lighting with overcast sky. Clear visibility.,broken roads,bridge,2025-09-24 06:10:09.902583
road_problems_HIGH_3335,road_problems,HIGH,9,Critical issue - potholes highway. This is a serious safety risk. Please address immediately. Causing accidents. Pedestrians at risk. Just saw this. Already caused accidents. In a busy area.,Image shows severe potholes with people avoiding the area highway. Photo taken afternoon lighting with clear weather. Close-up detail visible.,potholes,highway,2025-09-12 06:10:09.902583
road_problems_HIGH_9157,road_problems,HIGH,9,This is ridiculous critical issue - cracks main road. this is life-threatening. please address immediately. causing accidents. traffic chaos. just saw this. already injured someone. in a busy area.,Image shows severe cracks with deep holes visible main road. Photo taken in the evening with clear weather. Multiple angles shown.,cracks,main road,2025-09-09 06:10:09.902583
road_problems_HIGH_2753,road_problems,HIGH,9,Emergency situation: broken roads side road creating life-threatening conditions. Immediate response required. Causing accidents. Vehicles getting damaged. Just saw this. Already injured someone. Close to residential homes.,Image shows severe broken roads with warning cones placed side road. Photo taken during daytime with overcast sky. Close-up detail visible.,broken roads,side road,2025-09-16 06:10:09.902583
road_problems_HIGH_7752,road_problems,HIGH,8,DANGER: potholes highway poses immediate threat to public safety. Hazardous intervention needed. Causing accidents. Pedestrians at risk. Happening right now. Already damaged vehicles. Visible from the road.,Image shows severe potholes with visible damage to vehicles highway. Photo taken morning shot with sunny conditions. Multiple angles shown.,potholes,highway,2025-09-20 06:10:09.902583
road_problems_HIGH_1711,road_problems,HIGH,9,URGENT: road collapse causing serious safety hazard side road. Urgent action needed cannot wait. Causing accidents. Vehicles getting damaged. Happening right now. Already damaged vehicles. Near the main entrance.,Image shows severe road collapse with deep holes visible side road. Photo taken during daytime with clear weather. Clear visibility.,road collapse,side road,2025-09-07 06:10:09.902583
road_problems_HIGH_4523,road_problems,HIGH,9,Critical issue - broken roads side road. This is life-threatening. Please address immediately. Causing accidents. Vehicles getting damaged. Just saw this. Already injured someone. Visible from the road.,Image shows severe broken roads with warning cones placed side road. Photo taken morning shot with clear weather. Clear visibility.,broken roads,side road,2025-09-18 06:10:09.902583
road_problems_HIGH_7870,road_problems,HIGH,10,Please address critical issue - road collapse main road. this is extremely dangerous. please address immediately. causing accidents. traffic chaos. this happened yesterday. already caused accidents. visible from the road.,Image shows severe road collapse with warning cones placed main road. Photo taken in the evening with sunny conditions. Good image quality.,road collapse,main road,2025-09-15 06:10:09.902583
road_problems_HIGH_6534,road_problems,HIGH,8,URGENT: potholes causing serious safety hazard bridge. Serious action needed cannot wait. Causing accidents. Pedestrians at risk. Happening right now. Already damaged vehicles. In a busy area.,Image shows severe potholes with visible damage to vehicles bridge. Photo taken during daytime with after rain. Close-up detail visible.,potholes,bridge,2025-09-10 06:10:09.902583
road_problems_HIGH_5272,road_problems,HIGH,9,DANGER: cracks residential street poses immediate threat to public safety. Dangerous intervention needed. Causing accidents. Vehicles getting damaged. Noticed this morning. Already damaged vehicles. Visible from the road.,Image shows severe cracks with warning cones placed residential street. Photo taken during daytime with sunny conditions. Multiple angles shown.,cracks,residential street,2025-09-15 06:10:09.902583
road_problems_HIGH_4012,road_problems,HIGH,10,Please address critical issue - uneven surface bridge. this is extremely dangerous. please address immediately. causing accidents. traffic chaos. happening right now. already damaged vehicles. visible from the road.,Image shows severe uneven surface with people avoiding the area bridge. Photo taken afternoon lighting with clear weather. Clear visibility.,uneven surface,bridge,2025-09-21 06:10:09.902583
road_problems_HIGH_1267,road_problems,HIGH,8,Emergency situation: uneven surface residential street creating hazardous conditions. Immediate response required. Causing accidents. Pedestrians at risk. Just saw this. Already injured someone. Visible from the road.,Image shows severe uneven surface with people avoiding the area residential street. Photo taken in the evening with overcast sky. Clear visibility.,uneven surface,residential street,2025-09-16 06:10:09.902583
road_problems_HIGH_4281,road_problems,HIGH,9,I'm sick of urgent: cracks causing serious safety hazard side road. serious action needed asap. causing accidents. pedestrians at risk. noticed this morning. already injured someone. close to residential homes.,Image shows severe cracks with visible damage to vehicles side road. Photo taken afternoon lighting with clear weather. Clear visibility.,cracks,side road,2025-09-19 06:10:09.902583
road_problems_HIGH_1753,road_problems,HIGH,10,I'm worried about urgent: uneven surface causing serious safety hazard main road. emergency action needed today. causing accidents. traffic chaos. noticed this morning. already damaged vehicles. close to residential homes.,Image shows severe uneven surface with visible damage to vehicles main road. Photo taken morning shot with clear weather. Multiple angles shown.,uneven surface,main road,2025-09-04 06:10:09.903582
road_problems_HIGH_3720,road_problems,HIGH,8,Emergency situation: potholes intersection creating hazardous conditions. Immediate response required. Causing accidents. Vehicles getting damaged. Just saw this. Already injured someone. Near the main entrance.,Image shows severe potholes with people avoiding the area intersection. Photo taken in the evening with sunny conditions. Multiple angles shown.,potholes,intersection,2025-09-11 06:10:09.903582
road_problems_HIGH_3861,road_problems,HIGH,8,Please address danger: broken roads bridge poses immediate threat to public safety. emergency intervention needed. causing accidents. traffic chaos. happening right now. already caused accidents. near the main entrance.,Image shows severe broken roads with deep holes visible bridge. Photo taken morning shot with overcast sky. Close-up detail visible.,broken roads,bridge,2025-09-11 06:10:09.903582
road_problems_HIGH_6093,road_problems,HIGH,10,Emergency situation: road collapse main road creating hazardous conditions. Immediate response required. Causing accidents. Pedestrians at risk. Just saw this. Already damaged vehicles. Near the main entrance.,Image shows severe road collapse with people avoiding the area main road. Photo taken in the evening with overcast sky. Close-up detail visible.,road collapse,main road,2025-09-01 06:10:09.903582
road_problems_HIGH_4120,road_problems,HIGH,10,URGENT: cracks causing serious safety hazard residential street. Life-Threatening action needed right now. Causing accidents. Traffic chaos. Happening right now. Already caused accidents. Near the main entrance.,Image shows severe cracks with deep holes visible residential street. Photo taken during daytime with sunny conditions. Close-up detail visible.,cracks,residential street,2025-08-30 06:10:09.903582
road_problems_HIGH_4102,road_problems,HIGH,10,URGENT: road collapse causing serious safety hazard highway. Serious action needed cannot wait. Causing accidents. Pedestrians at risk. Happening right now. Already injured someone. In a busy area.,Image shows severe road collapse with warning cones placed highway. Photo taken during daytime with clear weather. Multiple angles shown.,road collapse,highway,2025-09-02 06:10:09.903582
road_problems_HIGH_9019,road_problems,HIGH,10,Emergency situation: uneven surface residential street creating hazardous conditions. Immediate response required. Causing accidents. Pedestrians at risk. Noticed this morning. Already injured someone. In a busy area.,Image shows severe uneven surface with deep holes visible residential street. Photo taken during daytime with after rain. Clear visibility.,uneven surface,residential street,2025-09-17 06:10:09.903582
road_problems_HIGH_8833,road_problems,HIGH,10,Please address danger: waterlogging highway poses immediate threat to public safety. life-threatening intervention needed. causing accidents. traffic chaos. noticed this morning. already caused accidents. visible from the road.,Image shows severe waterlogging with visible damage to vehicles highway. Photo taken during daytime with overcast sky. Good image quality.,waterlogging,highway,2025-08-30 06:10:09.903582
road_problems_HIGH_7781,road_problems,HIGH,9,URGENT: uneven surface causing serious safety hazard bridge. Emergency action needed asap. Causing accidents. Pedestrians at risk. This happened yesterday. Already injured someone. Near the main entrance.,Image shows severe uneven surface with warning cones placed bridge. Photo taken morning shot with sunny conditions. Clear visibility.,uneven surface,bridge,2025-09-04 06:10:09.903582
road_problems_HIGH_2865,road_problems,HIGH,10,URGENT: cracks causing serious safety hazard side road. Urgent action needed right now. Causing accidents. Traffic chaos. Happening right now. Already damaged vehicles. In a busy area.,Image shows severe cracks with visible damage to vehicles side road. Photo taken in the evening with after rain. Clear visibility.,cracks,side road,2025-09-11 06:10:09.903582
road_problems_HIGH_9057,road_problems,HIGH,9,Critical issue - uneven surface side road. This is life-threatening. Please address immediately. Causing accidents. Pedestrians at risk. Happening right now. Already caused accidents. Close to residential homes.,Image shows severe uneven surface with warning cones placed side road. Photo taken afternoon lighting with sunny conditions. Clear visibility.,uneven surface,side road,2025-09-04 06:10:09.903582
road_problems_HIGH_4952,road_problems,HIGH,9,Critical issue - uneven surface highway. This is a serious safety risk. Please address immediately. Causing accidents. Traffic chaos. This happened yesterday. Already injured someone. In a busy area.,Image shows severe uneven surface with visible damage to vehicles highway. Photo taken in the evening with overcast sky. Clear visibility.,uneven surface,highway,2025-09-10 06:10:09.903582
road_problems_HIGH_4118,road_problems,HIGH,10,Emergency situation: broken roads residential street creating dangerous conditions. Immediate response required. Causing accidents. Vehicles getting damaged. Happening right now. Already damaged vehicles. In a busy area.,Image shows severe broken roads with visible damage to vehicles residential street. Photo taken afternoon lighting with sunny conditions. Close-up detail visible.,broken roads,residential street,2025-08-31 06:10:09.903582
road_problems_HIGH_2197,road_problems,HIGH,10,I would like to report urgent: road collapse causing serious safety hazard bridge. emergency action needed asap. causing accidents. traffic chaos. just saw this. already caused accidents. in a busy area.,Image shows severe road collapse with visible damage to vehicles bridge. Photo taken during daytime with sunny conditions. Close-up detail visible.,road collapse,bridge,2025-09-12 06:10:09.903582
road_problems_HIGH_6540,road_problems,HIGH,8,URGENT: broken roads causing serious safety hazard main road. Critical action needed cannot wait. Causing accidents. Traffic chaos. Happening right now. Already injured someone. Near the main entrance.,Image shows severe broken roads with people avoiding the area main road. Photo taken in the evening with sunny conditions. Good image quality.,broken roads,main road,2025-09-11 06:10:09.903582
road_problems_HIGH_2577,road_problems,HIGH,9,How long do we wait danger: cracks highway poses immediate threat to public safety. immediate intervention needed. causing accidents. pedestrians at risk. this happened yesterday. already caused accidents. in a busy area.,Image shows severe cracks with visible damage to vehicles highway. Photo taken afternoon lighting with after rain. Multiple angles shown.,cracks,highway,2025-09-13 06:10:09.903582
road_problems_HIGH_3490,road_problems,HIGH,8,Critical issue - waterlogging highway. This is a serious safety risk. Please address immediately. Causing accidents. Traffic chaos. Noticed this morning. Already injured someone. In a busy area.,Image shows severe waterlogging with deep holes visible highway. Photo taken in the evening with after rain. Good image quality.,waterlogging,highway,2025-09-17 06:10:09.903582
road_problems_HIGH_1012,road_problems,HIGH,10,Emergency situation: road collapse highway creating life-threatening conditions. Immediate response required. Causing accidents. Traffic chaos. Happening right now. Already damaged vehicles. Near the main entrance.,Image shows severe road collapse with warning cones placed highway. Photo taken during daytime with overcast sky. Good image quality.,road collapse,highway,2025-08-31 06:10:09.903582
road_problems_HIGH_8847,road_problems,HIGH,9,Emergency situation: uneven surface main road creating dangerous conditions. Immediate response required. Causing accidents. Pedestrians at risk. Happening right now. Already damaged vehicles. Near the main entrance.,Image shows severe uneven surface with people avoiding the area main road. Photo taken during daytime with clear weather. Multiple angles shown.,uneven surface,main road,2025-08-30 06:10:09.903582
road_problems_HIGH_3629,road_problems,HIGH,9,URGENT: cracks causing serious safety hazard bridge. Critical action needed asap. Causing accidents. Traffic chaos. Happening right now. Already damaged vehicles. Close to residential homes.,Image shows severe cracks with deep holes visible bridge. Photo taken morning shot with sunny conditions. Close-up detail visible.,cracks,bridge,2025-09-20 06:10:09.903582
road_problems_HIGH_3891,road_problems,HIGH,10,DANGER: road collapse bridge poses immediate threat to public safety. Hazardous intervention needed. Causing accidents. Pedestrians at risk. Happening right now. Already caused accidents. In a busy area.,Image shows severe road collapse with warning cones placed bridge. Photo taken in the evening with clear weather. Multiple angles shown.,road collapse,bridge,2025-09-03 06:10:09.903582
road_problems_HIGH_6527,road_problems,HIGH,8,URGENT: road collapse causing serious safety hazard bridge. Serious action needed today. Causing accidents. Pedestrians at risk. Just saw this. Already caused accidents. Close to residential homes.,Image shows severe road collapse with people avoiding the area bridge. Photo taken in the evening with clear weather. Close-up detail visible.,road collapse,bridge,2025-09-24 06:10:09.903582
